,Unnamed: 0,Last_updated,Brand,Product,Issue,Nb_affected_models,Alert / recall type,Category,Published by,Audience,Recall type,Identification number
3877,0,2018-07-06,NEWMAR,Motorhome recalled by NEWMAR,Vehicle - Structure,10,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018349
3878,0,2018-07-06,YAMAHA,Snowmobile recalled by YAMAHA,Vehicle - Structure,1,Automotive recall,Vehicles - Snowmobile,Transport Canada,General public,automotive recall,2018356
3879,0,2018-07-11,ALTEC,Equipment recalled by ALTEC INDUSTRIES,Vehicle - Structure,24,Automotive recall,Vehicles - Equipment,Transport Canada,General public,automotive recall,2018126
3880,0,2018-07-11,ALTEC,Equipment recalled by ALTEC INDUSTRIES,Vehicle - Structure,2,Automotive recall,Vehicles - Equipment,Transport Canada,General public,automotive recall,2017210
3881,0,2018-07-11,ALTEC,Equipment recalled by ALTEC INDUSTRIES,Vehicle - Accessories,36,Automotive recall,Vehicles - Equipment,Transport Canada,General public,automotive recall,2017038
3882,0,2018-07-11,LAND ROVER,SUV recalled by LAND ROVER,Vehicle - Engine,2,Automotive recall,Vehicles - SUV,Transport Canada,General public,automotive recall,2018274
3883,0,2018-07-11,ALTEC,Equipment recalled by ALTEC INDUSTRIES,Vehicle - Other,1,Automotive recall,Vehicles - Equipment,Transport Canada,General public,automotive recall,2017098
3884,0,2018-07-12,VOLKSWAGEN,Car recalled by VOLKSWAGEN,Vehicle - Airbag,6,Automotive recall,Vehicles - Car,Vehicles - Minivan,Transport Canada,automotive recall,2018316
3885,0,2018-07-12,MERCEDES-BENZ,Car recalled by MERCEDES-BENZ,Vehicle - Electrical,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018327
3886,0,2018-07-12,MERCEDES-BENZ,Car recalled by MERCEDES-BENZ,Vehicle - Lights And Instruments,1,Automotive recall,Vehicles - Car,Transport Canada,General public,automotive recall,2018354
3887,0,2018-07-12,VACTOR,Equipment recalled by VACTOR,Vehicle - Other,7,Automotive recall,Vehicles - Equipment,Transport Canada,General public,automotive recall,2018359
3888,0,2018-07-12,COACHMEN,Motorhome recalled by FOREST RIVER,Vehicle - Electrical,6,Automotive recall,Vehicles - Motorhome,Transport Canada,General public,automotive recall,2018360
